ClassDescKeywordId,Keyword,ClassDescriptionId,ClassCode,ClassSuffix,DirectOK
138,Insurance Agencies & Brokerages,140,8810,0,Y
298,Insurance Agents,140,8810,0,Y
299,Insurance Brokers,140,8810,0,Y
306,Appraiser,141,8742,2,Y
139,Real Estate Agency & Appraisers,141,8742,2,Y
140,Salespersons or Collectors - Traveling,142,8742,0,Y
141,Residential Cleaning Services/Janitorial,143,917,12,Y
455,Janitorial (Residential),143,917,12,Y
423,Cleaning (Residential),143,917,12,Y
439,Property Management (Commercial/Dwellings),144,9026,0,Y
442,Building Operations (Commercial/Dwellings),144,9026,0,Y
142,Property Mgmt - Buildings,144,9026,0,Y
143,Property Mgmt - Condos and Apartments,145,9028,0,Y
443,Building Operations (Condos and Apartments),145,9028,0,Y
440,Property Management (Condos/Apartments),145,9028,0,Y
441,Property Management (Mobile Home or Trailer Park),146,9029,1,N
444,Building Operations (Mobile Home or Trailer Park),146,9029,1,N
144,Property Mgmt - Mobile Home or Trailer Park,146,9029,1,N
145,"Carpet, Rug, or Upholstery Cleaning",147,2593,2,Y
146,Cemetery Operations,148,9220,0,Y
147,Exterminator/Pest Control,149,9014,5,Y
284,Pest Control,149,9014,5,Y
285,Exterminator,149,9014,5,Y
377,Mortician,150,9620,0,Y
378,Embalmer,150,9620,0,Y
148,Funeral Director,150,9620,0,Y
149,Inspection of Risks,151,8720,0,N
150,"Kennels - Breeding, Boarding, or Sales",152,8831,2,Y
302,Doggy Day Care,152,8831,2,Y
303,Pet Training,152,8831,2,Y
304,Pet Boarding,152,8831,2,Y
305,Pet Sitting,152,8831,2,Y
307,Vault Maintenance,153,7998,0,Y
151,Locksmith,153,7998,0,Y
152,Mailing or Addressing Co. or Letter Service Shop,154,8800,0,Y
153,Mobile Crane Rental with Operators,155,9534,1,N
154,Pet Grooming,156,8831,2,Y
286,Groomer,156,8831,2,Y
288,Animal Grooming,156,8831,2,Y
155,Snow Removal,157,9402,2,N
156,Taxidermist,158,9600,0,N
375,Taxidermy,158,9600,0,N
157,Telecommunications Co.,159,8901,0,N
158,Undertaker,160,9620,2,Y
159,Upholstering,161,9522,0,N
160,Bus Company,162,8394,1,N
374,Bus Driver,162,8394,1,N
464,School Transportation,162,8394,1,N
470,Airport Car Service,163,7377,0,N
450,Chauffer,163,7377,0,N
373,Limo Driver,163,7377,0,N
161,Limousine Company,163,7377,0,N
162,Messenger or Courier Service,164,7231,0,N
287,Bicycle Courier,164,7231,0,N
471,Newspaper Delivery,164,7231,0,N
416,Courier,164,7231,0,N
420,Uber,165,7368,0,N
163,Taxicab Company,165,7368,0,N
